Rank,Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
1,Todd Gurley,304,0,0,0,0,0,0,279,"1,305",13,0,64,788,6,0,2,0
2,Le'Veon Bell,242,0,0,0,0,0,0,321,"1,291",9,0,85,655,2,0,2,0
3,Kareem Hunt,230,0,0,0,0,0,0,272,"1,327",8,0,53,455,3,0,1,0
4,Alvin Kamara,221,0,0,0,0,0,0,120,728,8,1,81,826,5,0,1,0
5,Melvin Gordon,215,0,0,0,0,0,0,284,"1,105",8,0,58,476,4,0,0,0
6,Mark Ingram,209,0,0,0,0,0,0,230,"1,124",12,0,58,416,0,0,3,0
7,DeAndre Hopkins,208,0,0,0,0,0,0,0,0,0,0,96,"1,378",13,0,1,0
8,Antonio Brown,204,0,0,0,0,0,0,0,0,0,0,101,"1,533",9,1,0,0
9,LeSean McCoy,194,0,0,0,0,0,0,287,"1,138",6,0,59,448,2,0,1,0
10,Leonard Fournette,183,0,0,0,0,0,0,268,"1,040",9,0,36,302,1,0,0,0
11,Keenan Allen,175,0,0,0,0,0,0,2,9,0,0,102,"1,393",6,0,0,1
12,Ezekiel Elliott,170,0,0,0,0,0,0,242,983,7,0,26,269,2,0,1,0
13,Jordan Howard,165,0,0,0,0,0,0,276,"1,122",9,0,23,125,0,0,1,0
14,Carlos Hyde,161,0,0,0,0,0,0,240,938,8,0,59,350,0,0,1,0
15,Marvin Jones,157,0,0,0,0,0,0,0,0,0,0,61,"1,101",9,0,0,0
16,Julio Jones,156,0,0,0,0,0,0,1,15,0,0,88,"1,444",3,0,0,0
17,Dion Lewis,154,0,0,0,0,0,0,180,896,6,0,32,214,3,0,0,0
18,Devonta Freeman,154,0,0,0,0,0,0,196,865,7,0,36,317,1,0,1,0
19,Tyreek Hill,153,1,0,0,0,1,0,17,59,0,0,75,"1,183",7,0,0,0
20,Rob Gronkowski,152,0,0,0,0,0,0,0,0,0,0,69,"1,084",8,1,0,0
21,Michael Thomas,147,0,0,0,0,0,0,0,0,0,0,104,"1,245",5,0,0,0
22,A.J. Green,147,0,0,0,0,0,0,0,0,0,0,75,"1,078",8,0,2,0
23,Larry Fitzgerald,146,1,1,21,0,0,0,0,0,0,0,109,"1,156",6,1,1,0
24,Lamar Miller,145,0,0,0,0,0,0,238,888,3,0,36,327,3,0,0,0
25,Jarvis Landry,145,1,0,0,0,0,0,1,-7,0,0,112,987,9,0,2,0
26,Brandin Cooks,144,0,0,0,0,0,0,9,40,0,0,65,"1,082",7,1,0,0
27,Adam Thielen,143,0,0,0,0,0,0,1,11,0,0,91,"1,276",4,0,2,0
28,Travis Kelce,143,1,0,0,0,1,0,2,7,0,0,83,"1,038",8,0,0,0
29,Davante Adams,143,0,0,0,0,0,0,0,0,0,0,74,885,10,0,0,0
30,Alex Collins,142,0,0,0,0,0,0,212,973,6,0,23,187,0,0,2,0
31,Doug Baldwin,142,0,0,0,0,0,0,2,-8,0,0,75,991,8,1,0,0
32,Duke Johnson,136,0,0,0,0,0,0,82,348,4,0,74,693,3,0,2,0
33,Christian McCaffrey,134,0,0,0,0,0,0,117,435,2,0,80,651,5,0,1,0
34,Marshawn Lynch,134,0,0,0,0,0,0,207,891,7,0,20,151,0,0,1,0
35,C.J. Anderson,133,0,0,0,0,0,0,245,"1,007",3,0,28,224,1,1,1,0
36,Alshon Jeffery,132,0,0,0,0,0,0,0,0,0,0,57,789,9,3,0,0
37,Frank Gore,132,0,0,0,0,0,0,261,961,3,0,29,245,1,0,0,0
38,Latavius Murray,130,0,0,0,0,0,0,216,842,8,0,15,103,0,0,0,0
39,Tevin Coleman,130,0,0,0,0,0,0,156,628,5,0,27,299,3,0,0,0
40,Robby Anderson,128,0,0,0,0,0,0,3,9,0,0,63,941,7,0,0,0
41,Stefon Diggs,127,0,0,0,0,0,0,8,13,0,0,64,849,8,0,0,0
42,JuJu Smith-Schuster,126,0,0,0,0,0,0,0,0,0,0,58,917,7,0,0,0
43,Devin Funchess,125,0,0,0,0,0,0,0,0,0,0,63,840,8,0,0,0
44,Mike Evans,124,0,0,0,0,0,0,0,0,0,0,71,"1,001",5,1,0,0
